Black,Blue,CMYKDisplay,ColorID,Cyan,Green,HeadsignDecimal,HeadsignHex3,HeadsignHex6,IDTemplateName,LongColorName,Magenta,NewColorID,RGB,RGBDisplay,Red,Yellow
0,207,C100 M30,B1,100,136,"0, 51, 255",03F,0033FF,B1,Blue #1,30,,#0088CF,"RGB 0, 136, 207",0,0
0,233,C90 M5,B2,90,170,"0, 153, 255",09F,0099FF,B2,Blue #2,5,,#00AAE9,"RGB 0, 170, 233",0,0
0,226,C60 M15,B3,60,175,"102, 102, 255",66F,6666FF,B3,Blue #3,15,,#58AFE2,"RGB 88, 175, 226",88,0
0,105,C70 Y80,G,70,184,"0, 255, 0",0F0,00FF00,G,Green,0,,#49B869,"RGB 73, 184, 105",73,80
0,72,M50 Y80,O,0,147,"255, 102, 0",F60,FF6600,O,Orange,50,,#F69348,"RGB 246, 147, 72",246,80
0,186,C15 M55,P1,15,136,"255, 0, 102",F06,FF0066,P1,Pink #1,55,,#D088BA,"RGB 208, 136, 186",208,0
0,169,M50 Y15,P2,0,151,"255, 51, 51",F33,FF3333,P2,Pink #2,50,,#F497A9,"RGB 244, 151, 169",244,15
0,172,C75 Y40,T1,75,183,"0, 255, 51",0F3,00FF33,T1,Teal #1,0,,#00B7AC,"RGB 0, 183, 172",0,40
0,214,C65 Y15,T2,65,193,"0, 255, 153",0F9,00FF99,T2,Teal #2,0,,#39C1D6,"RGB 57, 193, 214",57,15
0,181,C50 Y35,T3,50,202,"102, 255, 51",6F3,66FF33,T3,Teal #3,0,,#7DCAB5,"RGB 125, 202, 181",125,35
0,179,C55 M60,V1,55,113,"255, 0, 255",F0F,FF00FF,V1,Violet #1,60,,#8071B3,"RGB 128, 113, 179",128,0
0,189,C35 M50,V2,35,134,"153, 0, 255",90F,9900FF,V2,Violet #2,50,,#A786BD,"RGB 167, 134, 189",167,0
5,75,M20 Y80 K5,Y,0,193,"255, 153, 0",F90,FF9900,Y,Yellow,20,,#F2C14B,"RGB 242, 193, 75",242,80
3,46,C30 Y100 K3,YG,30,207,"204, 255, 0",CF0,CCFF00,YG,Yellow-Green,0,,#B8CF2E,"RGB 184, 207, 46",184,100
.32,185,C100 M62.45 Y6.52 K.32,PANTONE 300 C,100,92,"0, 51, 255",03F,0033FF,PANTONE 300 C,Pantone 300 C,62.45,,#005CB9,"RGB 0, 92, 185",0,6.52
0,200,C100 M54,LineBlue,100,85,,,,LineBlue,Blue,54,X,#0055C8,"RGB 0, 85, 200",0,0
0,0,C46 M33 Y100,LineOlive,46,110,,,,LineOlive,Olive,33,X,#6E6E00,"RGB 110, 110, 0",110,100
0,230,C44 Y12,LineSky,44,200,,,,LineSky,Sky,0,X,#82C8E6,"RGB 130, 200, 230",130,12
0,60,C100 M24 Y87,LineGreen,100,100,,,,LineGreen,Green,24,X,#00643C,"RGB 0, 100, 60",0,87
0,72,M50 Y80,LineOrange,0,147,,,,LineOrange,Orange,50,X,#F69348,"RGB 246, 147, 72",246,80
0,110,C26 M85,LineMauve,26,0,,,,LineMauve,Mauve,85,X,#A0006E,"RGB 160, 0, 110",160,0
0,169,M50 Y15,LinePink,0,151,,,,LinePink,Pink,50,X,#F497A9,"RGB 244, 151, 169",244,15
0,173,C87 M38,LineTeal,87,175,,,,LineTeal,Teal,38,X,#00AFAD,"RGB 0, 175, 173",0,0
40,86,C5 M100 K40,LineMaroon,5,16,,,,LineMaroon,Maroon,100,X,#751056,"RGB 117, 16, 86",117,0
0,185,C54 Y54,LineFern,54,220,,,,LineFern,Fern,0,X,#82DCB9,"RGB 130, 220, 185",130,54
0,130,C75 M100,LineViolet,75,0,,,,LineViolet,Violet,100,X,#640082,"RGB 100, 0, 130",100,0
0,190,C21 M38,LineLavender,21,130,,,,LineLavender,Lavender,38,X,#D282BE,"RGB 210, 130, 190",210,0
0,0,M19 Y100,LineYellow,0,190,,,,LineYellow,Yellow,19,X,#FFBE00,"RGB 255, 190, 0",255,100
3,46,C30 Y100 K3,LineChartreuse,30,207,,,,LineChartreuse,Chartreuse,0,X,#AECF2E,"RGB 174, 207, 46",174,100
0,10,C54 M68 Y100,LineBrown,54,35,,,,LineBrown,Brown,68,X,#32230A,"RGB 50, 35, 10",50,100
0,0,C13 M30 Y90,LineGold,13,150,,,,LineGold,Gold,30,X,#DC9600,"RGB 220, 150, 0",220,90
30,204,K30,Default,0,204,,,,Default,Default,0,,#CCCCCC,"RGB 204, 204, 204",204,0
13.2,48,C21.9 M100 Y86 K13.2,FlexRed,21.9,31,,,,FlexRed,FlexRed,100,,#AF1F30,"RGB 175, 31, 48",175,86
10,208,C100 M10 K10,BARTBlue,100,147,,,,BARTBlue,BART Blue,10,,#0093D0,"RGB 0, 147, 208",0,0
0,146,C75 M100,EarlyBirdPurple,75,47,,,,EarlyBirdPurple,Early Bird Purple,100,,#492F92,"RGB 73, 47, 146",73,0
0,200,C95 M2 Y22,TempoCyan,95,171,,,,TempoCyan,Tempo Cyan,2,,#00ABC8,"RGB 0, 171, 200",0,22
37,17,M100 Y100 K37,HFRed,0,13,,,,HFRed,High Frequency,100,,#A30D11,"RGB 163, 13, 17",163,100
0,156,C90 M70 Y6,MFBlue,90,88,,,,MFBlue,Medium Frequency,70,,#2B589C,"RGB 43, 88, 156",43,6
0,132,C66 M100 Y12,TempoPurple,66,43,,,,TempoPurple,Tempo Purple,100,,#782B84,"RGB 120, 43, 132",120,12
,208,C72.1 M4.8 Y15.5,LFCyan,72.1,181,,,,LFCyan,Low Frequency,4.8,,#07B5D0,"RGB 7, 181, 208",7,15.5
10,45,C20.4 M39.8 Y95.9 K10,IrregBrown,20.4,142,,,,IrregBrown,Irregular Brown,39.8,,#BC8E2D,"RGB 188, 142, 45",188,95.9
65,89,K65,UnspecGray,,89,,,,UnspecGray,Unspecified Gray,,,#595959,"RGB 89, 89, 89",89,
,198,C42 M42,OtherLavender,42,145,,,,OtherLavender,Other Lavender,42,,#9791C6,"RGB 151, 145, 198",151,
