flagtype_comment,flagtype_decalcount,flagtype_filename,flagtype_id,flagtype_master_page,flagtype_metal_length,flagtype_metal_width,flagtype_width
No longer used - narrow,2,14x16.indd,2N,A,16,14,narrow
No longer used - narrow,3,14x22.indd,3N,A,22,14,narrow
No longer used - narrow,4,14x26.indd,4N,A,26,14,narrow
No longer used - narrow,5,14x34.indd,5N,A,34,14,narrow
No longer used - narrow,6,14x36.indd,6N,A,36,14,narrow
Dumbarton Express standalone flag,2,20x17.indd,2D,D,17,20,regular
Small enough to fit in the notch of a round pole,3,20x17.indd,3,A,17,20,regular
Small flag,4,20x21.indd,4,A,21,20,regular
No longer used - odd size to reuse metal from experimental black flags,5,19.5x22.25.indd,5,A,22.25,19.5,regular
Medium flag,6,20x26.indd,6,A,26,20,regular
Extra Small Rapid,2,20x26.indd,2R,R,26,20,regular
Large flag,8,20x31.indd,8,A,31,20,regular
No longer used - odd size to reuse metal from experimental black flags,9,19.5x32.75.indd,9,A,32.75,19.5,regular
Extra large flag,10,20x36.indd,10,A,36,20,regular
Medium Rapid,6,20x36.indd,6R,R,36,20,regular
Extra Large Rapid,10,20x46.indd,10R,R,46,20,regular
no longer used - old wide flag,7,28x19.5.indd,7W,A,19.5,28,wide
another old wide flag,13,28x30.indd,13W,A,30,28,wide
Extra large wide flag,15,28x33.indd,15W,A,33,28,wide
Small Rapid,4,20x31.indd,4R,R,31,20,regular
no longer used - old wide flag,8,28x19.5.indd,8W,B,19.5,28,wide
Large Rapid,8,20x40.indd,8R,A,40,20,regular
Small wide flag,6,28x17.indd,6W,A,17,28,wide
Medium wide flag,9,28x22.indd,9W,A,22,28,wide
Large wide flag,12,28x28.indd,12W,A,28,28,wide
