c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
24ST,San Francisco,24th St. Mission BART,21,San Francisco,0,24th St. Mission BART,San Francisco,37.7523272,-122.4182055,24th St. Mission BART,14,24ST,24THMISS,,24TH MISS,San Francisco,24th St. Mission BART,24ST,,24th St. Mission BART,San Francisco,,,,
STFD MIPT,Redwood City,Stanford Midpoint Center,24,Stanford Midpoint Center,0,"Stanford Midpoint Center, Redwood City","Stanford Midpoint Center, Redwood City",37.4835042,-122.2046332,Stanford Midpoint Center,25,STMI,STFDMIPT,,STFD MIPT,Redwood City,Stanford Midpoint Center,,,Stanford Midpoint Center,,,,1,1
DEER CREK,Palo Alto,3475 Deer Creek Road,20,Stanford Research Park,2,"3475 Deer Creek Road, Palo Alto",Stanford Research Park,37.3953545,-122.1497658,3475 Deer Creek Road,22,DECR,DEERCREK,,DEER CREK,Palo Alto,3475 Deer Creek Road,,,3475 Deer Creek Road,Stanford Research Park,,,1,
VAHO PALO,Palo Alto,Palo Alto VA Medical Center,27,Palo Alto VA Medical Center,2,Palo Alto VA Medical Center,Palo Alto VA Medical Center,37.4039044,-122.1413960,Palo Alto VA Medical Center,22,VAPA,VAHOPALO,,VAHO PALO,Palo Alto,Palo Alto VA Medical Center,,,Palo Alto VA Medical Center,,,,,0
STAN MEDI,Santa Clara County,Stanford Medical Center,23,Stanford Medical Center,0,Stanford Medical Center,Stanford Medical Center,37.4359589,-122.1726254,Stanford Medical Center,97,STME,STANMEDI,,STAN MEDI,Santa Clara County,Stanford Medical Center,,,Stanford Medical Center,,,,,0
STAN SHOP,Stanford,Stanford Shopping Center,24,Stanford Shopping Center,2,Stanford Shopping Center,Stanford Shopping Center,37.4383433,-122.1714486,Stanford Shopping Center,97,STSH,STANSHOP,,STAN SHOP,Santa Clara County,Stanford Shopping Center,,Stanford,,,,,,0
STAN OVAL,Santa Clara County,Stanford Oval,13,Stanford University,2,Stanford Oval,Stanford University,37.4292722,-122.1689254,Stanford Oval,97,STOV,STANOVAL,,STAN OVAL,Santa Clara County,Stanford Oval,,,,Stanford University,,,,0
PALO CALT,Palo Alto,Palo Alto Caltrain,18,Palo Alto Caltrain,2,Palo Alto Caltrain,Palo Alto Caltrain,37.4439670,-122.1662650,Palo Alto Caltrain,22,PACT,PALOCALT,,PALO CALT,Palo Alto,Palo Alto Caltrain,,,,,,,,0
WILL MIDD,Menlo Park,Willow Road & Middlefield Road,30,Willow Road & Middlefield Road,2,"Willow Road & Middlefield Road, Menlo Park","Willow Road & Middlefield Road, Menlo Park",37.4543148,-122.1635511,Willow Road & Middlefield Road,24,WIMI,WILLMIDD,,WILL MIDD,Menlo Park,Willow Road & Middlefield Road,,,Willow Road & Middlefield Road,,,,1,1
PAGE ELCA,Palo Alto,Page Mill Road & El Camino Real,31,Page Mill Road & El Camino Real,2,"Page Mill Road & El Camino Real, Palo Alto","Page Mill Road & El Camino Real, Palo Alto",37.4230860,-122.1422506,Page Mill Road & El Camino Real,22,PMEC,PAGEELCA,,PAGE ELCA,Palo Alto,Page Mill Road & El Camino Real,,,Page Mill Road & El Camino Real,,,,1,1
EMBA WLWD,Palo Alto,Embarcadero Road & Wildwood Lane,32,Embarcadero Road & Wildwood Lane,2,"Embarcadero Road & Wildwood Lane, Palo Alto","Embarcadero Road & Wildwood Lane, Palo Alto",37.4465904,-122.1276224,Embarcadero Road & Wildwood Lane,22,EMWW,EMBAWLWD,,EMBA WLWD,Palo Alto,Embarcadero Road & Wildwood Lane,,,Embarcadero Road & Wildwood Lane,,,,1,1
SUN. MCRO,Menlo Park,Facebook (1 Hacker Way),23,Facebook (1 Hacker Way),0,"Facebook (1 Hacker Way), Menlo Park","Facebook (1 Hacker Way), Menlo Park",37.4842588,-122.1476969,Facebook (1 Hacker Way),24,SUMI,SUN.MCRO,,SUN. MCRO,Menlo Park,Facebook (1 Hacker Way),,,Facebook (1 Hacker Way),,,,1,1
UNIV BAY,East Palo Alto,University Ave. & Bay Road,26,University Ave. & Bay Road,0,"University Ave. & Bay Road, East Palo Alto","University Ave. & Bay Road, East Palo Alto",37.4716325,-122.1395610,University Ave. & Bay Road,26,UNBA,UNIV BAY,,UNIV BAY,East Palo Alto,University Ave. & Bay Road,,,University Ave. & Bay Road,,,,1,1
CUSH ENPT,Fremont,Cushing Parkway and Northport Loop East,39,Cushing Parkway and Northport Loop East,1,"Cushing Parkway and Northport Loop East, Fremont","Cushing Parkway and Northport Loop East, Fremont",37.4897138,-121.9526703,Cushing Parkway and Northport Loop East,07,CUNP,CUSHENPT,,CUSH ENPT,Fremont,Cushing Parkway and Northport Loop East,,,Cushing Parkway and Northport Loop East,,,,1,1
ALDE LRT,Milpitas,Alder Dr. & Tasman Dr.,22,Alder Dr. & Tasman Dr.,0,Alder Dr. & Tasman Dr.,Alder Dr. & Tasman Dr.,37.4137606,-121.9167701,Alder Dr. & Tasman Dr.,23,ALRT,ALDELRT,,ALDE LRT,Milpitas,Alder Dr. & Tasman Dr.,,,Alder Dr. & Tasman Dr.,,,,,0
