LeaveCoverForMap,MapFile,MasterPage,PubTimetableID,SortKey
No,1,L,1,11
No,11,L,11,211
No,12,L,12,212
No,14,L,14,214
No,18,L,18,218
Yes,20,L,20,220
No,210,L,210,3210
Yes,212,L,212,3212
No,215,L,215,3215
No,216,L,216,3216
No,217,L,217,3217
No,22,L,22,222
No,232,L,232,3232
No,239,L,239,3239
No,25,L,25,225
No,251,L,251,3251
No,26,L,26,226
No,275,L,275,3275
Yes,31,L,31,231
No,314,L,314,3314
Yes,32,L,32,232
Yes,37,L,37,237
No,376,L,376,3376
Yes,39,L,39,239
No,40_840,L,40,240
Yes,45,L,45,245
Yes,46_46L,L,46L,246L
No,47,L,47,247
Yes,48,L,48,248
No,49,L,49,249
No,51A,L,51A,251A
No,51B,L,51B,251B
Yes,52,L,52,252
No,54,L,54,254
No,57,L,57,257
Yes,60,L,60,260
No,604,S,604,3604
No,606,S,606,3606
No,607,S,607,3607
No,618,S,618,3618
No,62,L,62,262
Yes,620,S,620,3620
No,621,S,621,3621
No,623,S,623,3623
No,624,S,624,3624
Yes,625,S,625,3625
No,626_628,S,626,3626
No,629,S,629,3629
No,631,S,631,3631
No,638,S,638,3638
Yes,641,S,641,3641
Yes,642,S,642,3642
Yes,643,S,643,3643
No,646,S,646,3646
No,649,S,649,3649
Yes,651,S,651,3651
No,658,S,658,3658
No,654,S,654,3654
No,657,S,657,3657
No,65,L,65,265
No,662,S,662,3662
No,667,S,667,3667
No,668,S,668,3668
No,669,S,669,3669
No,671,S,671,3671
No,672,S,672,3672
No,680,S,680,3680
Yes,681,S,681,3681
No,684,S,684,3684
No,688,S,688,3688
No,696,S,696,3696
No,7,L,7,17
Yes,70,L,70,270
No,71,L,71,271
No,72_72M_802,L,72,272
No,73,L,73,273
No,74,L,74,274
No,75,L,75,275
No,76,L,76,276
No,800,T,800,3800
Yes,83,L,83,283
No,85,L,85,285
No,851,L,851,3851
Yes,86,L,86,286
No,88,L,88,288
No,89,L,89,289
No,93,L,93,293
Yes,94,L,94,294
Yes,95,L,95,295
No,97,L,97,297
No,98,L,98,298
No,99,L,99,299
Yes,B,T,B,B
No,CB,T,CB,CB
No,C,T,C,C
No,DB_DB1,T,DB,DB
Yes,E,T,E,E
No,F,T,F,F
No,FS,T,FS,FS
No,G,T,G,G
No,H,T,H,H
Yes,J,T,J,J
No,LA,T,LA,LA
No,L,T,L,L
No,M,T,M,M
No,805,L,805,3805
No,NX,T,NX,NX
No,NX3,T,NX3,NX13
No,NX4_NXC,T,NX4,NX14
No,O,T,O,O
No,OX,T,OX,OX
No,S,T,S,S
No,SB,T,SB,SB
No,U,T,U,U
Yes,W,T,W,W
No,Z,T,Z,Z
No,801,L,801,3801
No,200,L,200,3200
Yes,687,S,687,3687
No,663,S,663,3663
Yes,356,L,356,3356
Yes,P,T,P,P
Yes,V,T,V,V
No,NL,T,NL,NL
Yes,67,L,67,267
No,655,S,655,3655
No,675,S,675,3675
No,676,S,676,3676
No,72R,L,72R,272R
No,677,S,677,3677
No,691,S,691,3691
No,6,L,6,16
No,10,L,10,210
No,90,L,90,290
No,19,L,19,219
No,617,S,617,3617
No,650,S,650,3650
No,29,L,29,229
No,33,L,33,233
No,36,L,36,236
No,79,L,79,279
No,80,L,80,280
No,81,L,81,281
No,96,L,96,296
No,611,S,611,3611
Yes,652,S,652,3652
No,653,S,653,3653
No,660,S,660,3660
No,682,S,682,3682
No,605,S,605,3605
No,648,S,648,3648
,28,L,28,228
No,41,L,41,241
No,34,L,34,234
No,701_702_703_705_706_707_710,E,701,3701
No,BF3,T,BF3,BF13
No,1T,L,1T,11T
No,608,S,608,3608
No,614,S,614,3614
No,639,S,639,3639
No,78,L,78,278
No,21,L,21,221
No,56,L,56,256
No,35,L,35,235
