Agency,MasterPage,Regions,SignTemplateSerial,SignType
ACTransit,C,32:70 ,1,S5
ACTransit,C,9:59 ,2,S2
ACTransit,D,15:59 ,3,S2
ACTransit,E,11:52 5:18 5:18,4,S2
ACTransit,F,11:59 5:22 5:22,5,S2
ACTransit,G,18:59 5:22 5:22,6,S2
ACTransit,C,9:59 ,7,S1
ACTransit,D,14:59 ,8,S1
ACTransit,E,11:52 5:22 5:22,9,S1
ACTransit,F,11:59 5:22 5:22,10,S1
ACTransit,G,17:59 5:22 5:22,11,S1
ACTransit,D,12:65 ,12,S4
ACTransit,C,23:74 10:34,13,B17
ACTransit,AL,7:39,14,CN
ACTransit,B,7:87 ,15,CN
ACTransit,C,7:55 7:14,16,CN
ACTransit,A,10:28 ,17,CW
ACTransit,C,8:70 ,18,S3
ACTransit,D,14:63 ,19,S3
ACTransit,E,11:63 5:23 5:23,20,S3
ACTransit,F,11:70 5:26 5:26,21,S3
ACTransit,G,16:70 5:26 5:26,22,S3
ACTransit,C,23:33,23,Oak11
ACTransit,B,16:32 ,24,Oak11F
ACTransit,A,4:28 ,25,R22
ACTransit,B,10:34 ,26,R22
ACTransit,C,10:55 ,27,R22
ACTransit,D,10:62 ,28,R22
ACTransit,E,5:62 5:22 5:22,29,R22
ACTransit,F,10:37 10:7,30,R22
ACTransit,GD,10:42 10:35,31,R22
ACTransit,H,10:50 10:26,32,R22
ACTransit,I,10:62 10:13,33,R22
ACTransit,A,17:106 ,34,T24
ACTransit,B,17:67 17:21,35,T24
ACTransit,C,33:71 ,36,T24
ACTransit,CC,16:90 17:71,37,T24
ACTransit,D,33:56 17:33,38,T24
,D,8:58 ,39,TID16
,E,14:58 ,40,TID16
,F,21:58 ,41,TID16
,FC,17:58 5:20 5:20,42,TID16
,G,28:58 ,43,TID16
,GM,19:58 10:20 10:20,44,TID16
,H,35:58 ,45,TID16
,I,41:58 ,46,TID16
,J,48:58 ,47,TID16
,JC,43:58 5:20 5:20,48,TID16
,JD,38:58 10:20 10:20,49,TID16
,E,22:75,50,TID16s
,EM,13:75 9:29 9:29,51,TID16s
,EX,6:75 16:37 16:21,52,TID16s
,F,31:75 ,53,TID16s
,H,48:75 ,54,TID16s
,HC,36:75 12:29 12:29,55,TID16s
,HD,28:75 20:29 20:29,56,TID16s
,J,65:75 ,57,TID16s
,JD,41:75 24:29 24:29,58,TID16s
,DJ,18:96 4:40 4:40,61,TID20s
,DM,6:96 8:40 8:40,62,TID20s
,FM,18:96 12:40 12:40,63,TID20s
,GM,16:96 24:40 24:40,64,TID20s
,HM,24:96 24:40 24:40,65,TID20s
,JM,41:96 24:40 24:39,66,TID20s
ACTransit,G,10:41 10:8,67,R22
DumbartonExpress,DA,10:32,68,R22
ACTransit,CC,10:30,70,R11
ACTransit,CC,10:33,71,R17
ACTransit,A,8:60,72,BA
,GQ,14:58 15:20 15:20,73,TID16
,EM,10:58 5:20 5:20,74,TID16
ACTransit,C,10:26,75,R22B
ACTransit,D,10:32,76,R22B
DumbartonExpress,DB,10:32,77,R22B
,EY,6:75 16:38 16:20,80,TID16s
,KM,41:109 31:53 31:40,84,TID20s
,G,39:75 ,85,TID16s
,GM,30:75 9:29 9:29,86,TID16s
,EQ,8:75 14:37 14:21,87,TID16s
BroadwayShuttle,BSH,3:32,89,R11
,EM,10:96 12:40 12:40,90,TID20s
,F0M,15:96 12:40 12:40,91,TID20s
ACTransit,B,3:36,92,S6
DumbartonExpress,DC,23:32 ,94,Oak11
DumbartonExpress,DB,7:32 ,95,Oak11
DumbartonExpress,DF,10:30,96,R11
DumbartonExpress,DC,10:23,97,R11
DumbartonExpress,DB,2:30,98,R11
DumbartonExpress,DB,2:27,99,R17
DumbartonExpress,DC,2:33,100,R17
ACTransit,C,2:30,101,R11
ACTransit,CC,10:30,103,R17N
ACTransit,AM,10:28 ,104,R22
ACTransit,CC,16:33 7:9 7:8,105,Oak11
ACTransit,B,15:70 ,106,S5
ACTransit,A,10:70 ,107,S5
ACTransit,B,16:33,108,Oak11
ACTransit,C,23:32 ,109,Oak11F
ACTransit,C,4:30,110,R17N
ACTransit,D,9:8,111,1080L
ACTransit,HM,10:54 10:22,126,R22
ACTransit,HS,10:58 10:18,127,R22
ACTransit,J,10:54 11:22,128,R22
,C,3:58 ,129,TID16
ACTransit,D,14:16,130,1080Ls
ACTransit,AM,7:55 ,131,CN
ACTransit,A,1:13,132,CN
,DD,5:75 9:29 9:29,133,TID16s
,DX,13:41 13:17,134,TID16s
,D1X,16:41 16:17,135,TID16s
,A,50:20,136,Tempo
,D1C,8:58 3:20 3:20,137,TID16
,HL,33:96 15:40 15:40,138,TID20s
ACTransit,A,10:33,139,Oak11
ACTransit,C,8:36,140,S6
,D1E,8:58 4:20 3:20,141,TID16
,D1,11:58,143,TID16
,IM,33:96 24:41 24:39,145,TID20s
,FN,16:96 15:40 15:40,147,TID20s
ACTransit,GA,10:54 10:16,148,R22
ACTransit,C,1:34 7:75,149,S4
