Active,Agency,BraillePlates,City,CityCount,City_Related,CopyQuantity,Delivery,DeliveryCount,DescripNotes,FarePanel,Field 76,InternalNotes,LastPrintedLookup,LastSurveyedLookup,MonthPrinted,MonthPrintedCount,NonStopCity,NonStopLocation,Note600s,OverrideEffDate,PhoneID,ShelterNum,Sidenote,SignClassification,SignClassificationCount,SignEventCodeM,SignEventCodeP,SignEventCodeS,SignID,SignType,SignTypeCount,Status,StopDescription,Stop_id_suffix,Stops_CityF_Lookup,TIDFile,Tag,TempFlag,UNIQUEID,UseOldMakepoints,stp_511_id
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-08,2603,,,No,,57796,,,Polesign,2630,M,P,S,27,R22,2630,OK,"Atlantic Ave. at Challenger Dr., Alameda, FS E",,Alameda,,,No,0100170,No,57796
Yes,ACTransit,,Alameda,1997,Alameda,1,AlaCity,2630,,,,Shelter there Jan 2017,2018-06-27,2009-11-16,2018-06,2603,,,No,,50101,,,Shelter,2630,M,P,S,1344,S4,2630,Needs no service sign,"Atlantic Ave. at Constitution Way, Alameda, FS W",,Alameda,,W19-NNS,No,0100180,No,50101
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-10,2603,,,No,,56717,,,Polesign,2630,M,P,S,30,R22,2630,OK,"Atlantic Ave. at Triumph Dr., Alameda, NS E",,Alameda,,,No,0100230,No,56717
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2020-08,2603,,,No,,54332,,,Polesign,2630,M,P,S,31,R22,2630,OK,"Atlantic Ave. at Triumph Dr., Alameda, FS W",,Alameda,,,No,0100220,No,54332
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2022-07,2603,,,Yes,,52110,,,Polesign,2630,M,P,S,2,R22,2630,OK,"Aughinbaugh Way at Robert Davey Jr. Dr., Alameda, FS S",,Alameda,,F22,No,0100300,No,52110
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2020-08-09,2011-03-30,2021-12,2603,,,No,,55987,,,Polesign,2630,M,P,S,32,R22,2630,OK,"Blanding Ave. at Broadway, Alameda, FS E",,Alameda,,F22,No,0100340,No,55987
Yes,ACTransit,,Alameda,1997,Alameda,1,AlaCity,2630,,,,Still there in April 2018,2018-12-04,2011-03-30,2019-06,2603,,,No,,56668,,,Shelter,2630,M,P,S,33,S4,2630,Needs no service sign,"Blanding Ave. at Broadway, Alameda, NS W",,Alameda,,W19-NNS,No,0100350,No,56668
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2020-08,2603,,,No,,52545,,,Polesign,2630,M,P,S,1412,R22,2630,OK,"Buena Vista Ave. at Chestnut St., Alameda, FS W",,Alameda,,,No,0100560,No,52545
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-10,2603,,,No,,51770,,,Polesign,2630,M,P,S,1413,R22,2630,OK,"Buena Vista Ave. at Chestnut St., Alameda, FS E",,Alameda,,,No,0100570,No,51770
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-10,2603,,,No,,50611,,,Polesign,2630,M,P,S,36,R22,2630,OK,"Buena Vista Ave. at Park St., Alameda, NS E",,Alameda,,,No,0104370,No,50611
