OmitLines,SSJ_Serial,SignID,h_stp_511_id
,4,1933,57599
,5,1933,54622
,6,1933,54553
,8,2237,50275
,10,2009,51641
,11,2009,51643
,12,2009,51646
,13,2009,51672
,14,2009,51673
,15,2009,51674
,16,2009,51679
,19,2011,50939
,20,2011,51008
,21,2011,51512
,22,2011,53000
,23,2011,54004
,28,2011,55645
,29,2035,53888
,32,2035,55777
,36,2035,56565
,37,2035,57111
,39,2036,55555
,45,2039,58788
,46,2039,55977
,47,2039,57042
,49,2039,53533
,50,2039,55575
,51,2039,56665
,52,2040,53999
,53,2040,55005
,54,2040,55504
,57,2041,51333
,58,2041,53111
,60,2041,55355
,61,2041,55522
,62,2041,55533
,63,2041,55539
,64,2041,55550
,65,2041,55886
,66,2042,56858
,67,2042,52239
,68,2042,59918
,69,2042,59978
,70,2042,52177
,71,2042,55280
,76,2047,53333
,78,2047,53684
,80,2047,56333
,82,2047,59933
,84,2058,50511
,85,2058,55667
,86,2058,51209
,87,2058,51588
,90,2058,55055
,91,2058,55255
,92,2058,55500
,93,2058,55532
,97,2058,55665
,98,2058,55911
,107,2060,55552
98-WB,108,2060,59599
,109,2060,56777
,110,2060,55577
90-WB,111,2060,55663
,120,2062,52115
,132,2087,50783
,133,2087,50786
,134,2087,50797
,135,2087,50798
,136,2088,59959
,137,2088,51188
,139,2088,54327
,141,2089,50604
,142,2089,53126
40 88 96 801 840,194,684,55066
1 29 33,195,2238,55066
33 40 840,196,694,55840
1 29 801,197,2239,55840
29 40 88,198,993,55557
19 20,199,2240,55557
18 19 20 96,200,1034,59999
"51A 62 851",201,2241,59999
12 18 19 20 96,202,1395,51536
51A 72 72M 851,203,2242,51536
40 33 96 840,212,690,55570
29 88 ,213,2247,55570
33 40 88 840,216,1946,58888
29 96,217,2249,58888
6 18 33 51A 851,220,2211,50958
12 33 51A 72 72M 851,221,2212,50958
200,241,984,57339
40 840,244,2076,55564
14 29 33,245,2300,55564
,247,554,51111
72M 72 72R,248,597,55222
12 96,250,2303,55222
,258,2011,51221
,259,2011,52229
,262,2040,53331
,270,2036,54139
,271,2047,53332
,272,2047,59713
,276,2041,59000
51B 79 851,280,2310,54655
6 36 52 F,281,2311,54655
51B 851 79,283,3,55555
,284,2058,50555
,285,2316,51731
,286,2316,53553
,287,2316,52417
,288,2316,50896
,290,2317,55833
,291,2317,54999
,292,2318,55116
,293,2318,55404
,294,2318,56677
,295,2318,52345
,296,2318,57400
,302,2319,51177
,303,2319,57900
,304,2319,57286
,305,2319,50500
6,310,413,51584
36 51B 79 851,311,2329,51584
18 96,312,1040,54222
51A 62 851,313,2330,54222
51A 62 851,314,1041,59222
