City,Name,ShortName
Alameda,Harbor Bay Ferry Terminal,Harbor Bay Ferry
Berkeley,Ashby BART,Ashby BART
Berkeley,Berkeley Amtrak,Berkeley Amtrak
Berkeley,Berkeley BART,Berkeley BART
Berkeley,North Berkeley BART,North Berkeley BART
Castro Valley,Castro Valley BART,Castro Valley BART
Contra Costa Centre,Pleasant Hill / Contra Costa Centre BART,Pleasant Hill BART
El Cerrito,El Cerrito del Norte BART,El Cerrito del Norte BART
El Cerrito,El Cerrito Plaza BART,El Cerrito Plaza BART
Fremont,Ardenwood Park & Ride,Ardenwood Park & Ride
Fremont,Fremont BART,Fremont BART
Fremont,Fremont/Centerville ACE/Amtrak,Fremont ACE/Amtrak
Hayward,Hayward Amtrak,Hayward Amtrak
Hayward,Hayward BART,Hayward BART
Hayward,South Hayward BART,South Hayward BART
Milpitas,Great Mall/Main Transit Center,Great Mall/Main TC
Oakland,12th Street/Oakland City Center BART,12th Street BART
Oakland,19th Street BART,19th Street Oakland BART
Oakland,Coliseum BART/Amtrak,Coliseum BART/Amtrak
Oakland,Eastmont Transit Center,Eastmont TC
Oakland,Foothill Square,Foothill Square
Oakland,Fruitvale BART,Fruitvale BART
Oakland,Lake Merritt BART,Lake Merritt BART
Oakland,MacArthur BART,MacArthur BART
Oakland,Oakland Airport,Oakland Airport
Oakland,Oakland Jack London Square Amtrak,Oakland JLS Amtrak
Oakland,Oakland Jack London Square Ferry Terminal,Oakland JLS Ferry Terminal
Oakland,Rockridge BART,Rockridge BART
Oakland,West Oakland BART,West Oakland BART
Pittsburg,Pittsburg / Bay Point BART,Pittsburg / BPt BART
Richmond,Hilltop Mall,Hilltop Mall
Richmond,Richmond BART/Amtrak,Richmond BART/Amtrak
Richmond,Richmond Parkway Transit Center,Richmond Parkway TC
San Francisco,16th St. Mission BART,16th St. BART
San Francisco,24th St. Mission BART,24th St. BART
San Francisco,Civic Center BART,Civic Center BART
San Francisco,Montgomery St. BART,Montgomery St. BART
San Francisco,Powell St. BART,Powell St. BART
San Francisco,Transbay Temporary Terminal,Transbay Temp. Term.
San Leandro,Bay Fair BART,Bay Fair BART
San Leandro,San Leandro BART,San Leandro BART
San Pablo,Contra Costa College,Contra Costa College
Union City,Union City BART,Union City BART
Union City,Union Landing Transit Center,Union Landing TC
Walnut Creek,Walnut Creek BART,Walnut Creek BART
Emeryville,Emeryville Amtrak,Emeryville Amtrak
San Francisco,Salesforce Transit Center,Salesforce Transit Center
Fremont,Warm Springs/South Fremont BART,Warm Springs BART
Oakland,Champion Transit Plaza,Champion Transit Plaza
Dublin,Dublin/Pleasanton BART,Dublin/Pleasanton BART
Milpitas,Milpitas BART,Milpitas BART
Alameda,Alameda Seaplane Lagoon Ferry Terminal,Seaplane Lagoon Ferry
