crew_assignment,description,zip_code
3,Bay Farm Island border,94502
2,Fruitvale,94601
2,Dimond - Glenview,94602
3,Elmhurst - Sobrante Park,94603
3,Millsmont - Grass Valley,94605
2,Eastlake - San Antonio,94606
2,West Oakland - J.L.Sq.,94607
2,Emeryville,94608
2,Temescal,94609
2,Adams Point - Trestle Glen,94610
2,Piedmont Ave - Montclair,94611
2,Downtown,94612
2,Mills College,94613
2,Rockridge - Hiller Highlands,94618
3,Maxwell Park - Skyline,94619
3,Coliseum & Airport,94621
1,Berkeley border,94705
1,Berkeley border,94720
