TableName	FieldName	FieldType	FieldID	FieldClass	FieldReps	ModCount
Agencies	agency_id	varchar	1	Normal	1	1
Agencies	agency_name	varchar	2	Normal	1	1
Agencies	agency_url	varchar	3	Normal	1	1
Agencies	agency_timezone	varchar	4	Normal	1	1
Agencies	agency_lang	varchar	5	Normal	1	1
Agencies	agency_phone	varchar	6	Normal	1	1
Agencies	agency_fare_url	varchar	7	Normal	1	1
Agencies	agency_linemap_url	varchar	8	Normal	1	1
Agencies	agency_linesked_url	varchar	9	Normal	1	3
Agencies	agency_mapversion	varchar	11	Normal	1	2
Agencies	agency_effective_date	date	12	Normal	1	1
Agencies	agency_abbr	varchar	13	Normal	1	2
annu	annu_sign_text	varchar	5	Normal	1	1
annu	annu_audios	varchar	6	Normal	1	1
Cities	City	varchar	1	Normal	1	0
Cities	Region	varchar	2	Normal	1	0
Cities	Code	varchar	3	Normal	1	1
Cities	Side	varchar	4	Normal	1	1
Cities	Sector	varchar	5	Normal	1	2
Cities	CrewAssignment	varchar	6	Normal	1	1
Cities	SmokingText	varchar	7	Normal	1	1
Cities	CityWorkZone	varchar	9	Normal	1	2
Colors	Cyan	decimal	1	Normal	1	0
Colors	Magenta	decimal	2	Normal	1	0
Colors	Yellow	decimal	3	Normal	1	0
Colors	ColorID	varchar	4	Normal	1	2
Colors	IDTemplateName	varchar	5	Normal	1	0
Colors	Black	decimal	6	Normal	1	0
Colors	HeadsignHex3	varchar	7	Normal	1	3
Colors	HeadsignHex6	varchar	8	Normal	1	2
Colors	RGB	varchar	10	Calculated	1	6
Colors	NewColorID	varchar	11	Normal	1	0
Colors	Red	decimal	12	Normal	1	1
Colors	Green	decimal	13	Normal	1	1
Colors	Blue	decimal	14	Normal	1	1
Colors	LongColorName	varchar	15	Normal	1	0
Colors	CMYKDisplay	varchar	17	Calculated	1	4
Colors	HeadsignDecimal	varchar	18	Calculated	1	0
Colors	RGBDisplay	varchar	19	Calculated	1	7
Flagtypes	flagtype_id	varchar	1	Normal	1	1
Flagtypes	flagtype_decalcount	decimal	3	Normal	1	1
Flagtypes	flagtype_width	varchar	4	Normal	1	2
