Unicode, Glyph, AdvWidth, LSdBearing
U+0020, 1, 278
U+0021, 2, 389, 118
U+0022, 3, 481, 88
U+0023, 4, 556, 33
U+0024, 5, 556, 58
U+0025, 6, 1000, 106
U+0026, 7, 722, 60
U+0027, 104, 278, 78
U+0028, 9, 333, 39
U+0029, 10, 333, 7
U+002A, 11, 556, 72
U+002B, 12, 600, 46
U+002C, 13, 278, 23
U+002D, 14, 333, 35
U+002E, 15, 278, 69
U+002F, 16, 389, 21
U+0030, 17, 556, 35
U+0031, 18, 556, 79
U+0032, 19, 556, 41
U+0033, 20, 556, 45
U+0034, 21, 556, 16
U+0035, 22, 556, 72
U+0036, 23, 556, 44
U+0037, 24, 556, 50
U+0038, 25, 556, 35
U+0039, 26, 556, 44
U+003A, 27, 278, 69
U+003B, 28, 278, 23
U+003C, 29, 600, 46
U+003D, 30, 600, 46
U+003E, 31, 600, 46
U+003F, 32, 500, 50
U+0040, 33, 800, 37
U+0041, 34, 722, 9
U+0042, 35, 611, 81
U+0043, 36, 611, 47
U+0044, 37, 722, 81
U+0045, 38, 556, 81
U+0046, 39, 500, 81
U+0047, 40, 722, 47
U+0048, 41, 722, 81
U+0049, 42, 278, 69
U+004A, 43, 389, 22
U+004B, 44, 667, 81
U+004C, 45, 500, 81
U+004D, 46, 944, 81
U+004E, 47, 722, 74
U+004F, 48, 778, 47
U+0050, 49, 556, 69
U+0051, 50, 778, 47
U+0052, 51, 611, 69
U+0053, 52, 556, 58
U+0054, 53, 556, 8
U+0055, 54, 722, 76
U+0056, 55, 667, 10
U+0057, 56, 1000, 10
U+0058, 57, 667, 10
U+0059, 58, 667, 11
U+005A, 59, 556, 36
U+005B, 60, 333, 72
U+005C, 61, 389, 20
U+005D, 62, 333, 37
U+005E, 63, 600, 66
U+005F, 64, 500
U+0060, 124, 278, 29
U+0061, 66, 556, 36
U+0062, 67, 611, 69
U+0063, 68, 444, 36
U+0064, 69, 611, 36
U+0065, 70, 556, 36
U+0066, 71, 389, 19
U+0067, 72, 611, 36
U+0068, 73, 611, 69
U+0069, 74, 278, 72
U+006A, 75, 278, -15
U+006B, 76, 556, 72
U+006C, 77, 278, 72
U+006D, 78, 889, 67
U+006E, 79, 611, 69
U+006F, 80, 611, 36
U+0070, 81, 611, 69
U+0071, 82, 611, 36
U+0072, 83, 389, 72
U+0073, 84, 444, 36
U+0074, 85, 389, 14
U+0075, 86, 611, 69
U+0076, 87, 556, 12
U+0077, 88, 889, 11
U+0078, 89, 556, 9
U+0079, 90, 556, 11
U+007A, 91, 500, 36
U+007B, 92, 333, 18
U+007C, 93, 222, 59
U+007D, 94, 333, 10
U+007E, 95, 600, 69
U+00A0, 248, 278
U+00A1, 96, 389, 117
U+00A2, 97, 556, 86
U+00A3, 98, 556, 54
U+00A4, 103, 556, 18
U+00A5, 100, 556, -10
U+00A6, 160, 222, 59
U+00A7, 102, 556, 66
U+00A8, 131, 278, -22
U+00A9, 170, 800, 39
U+00AA, 139, 361, 28
U+00AB, 106, 556, 49
U+00AC, 151, 600, 46
U+00AD, 249, 333, 35
U+00AE, 165, 800, 39
U+00AF, 128, 278, -5
U+00B0, 161, 400, 39
U+00B1, 156, 600, 46
U+00B2, 164, 361, 30
U+00B3, 169, 361, 26
U+00B4, 125, 278, 29
U+00B5, 152, 611, 69
U+00B6, 115, 620, 2
U+00B7, 114, 278, 62
U+00B8, 133, 278, 75
U+00B9, 150, 361, 12
U+00BA, 143, 397, 21
U+00BB, 120, 556, 40
U+00BC, 158, 834, 20
U+00BD, 155, 834, 10
U+00BE, 163, 834, 14
U+00BF, 123, 500, 24
U+00C0, 174, 722, 9
U+00C1, 171, 722, 9
U+00C2, 172, 722, 9
U+00C3, 176, 722, 9
U+00C4, 173, 722, 9
U+00C5, 175, 722, 9
U+00C6, 138, 944, 9
U+00C7, 177, 611, 47
U+00C8, 181, 556, 81
U+00C9, 178, 556, 81
U+00CA, 179, 556, 81
U+00CB, 180, 556, 81
U+00CC, 185, 278, 1
U+00CD, 182, 278, 57
U+00CE, 183, 278, -19
U+00CF, 184, 278, -22
U+00D0, 154, 722, 17
U+00D1, 186, 722, 74
U+00D2, 190, 778, 47
U+00D3, 187, 778, 47
U+00D4, 188, 778, 47
U+00D5, 191, 778, 47
U+00D6, 189, 778, 47
U+00D7, 168, 600, 66
U+00D8, 141, 778, 47
U+00D9, 196, 722, 76
U+00DA, 193, 722, 76
U+00DB, 194, 722, 76
U+00DC, 195, 722, 76
U+00DD, 197, 667, 11
U+00DE, 157, 556, 69
U+00DF, 149, 611, 72
U+00E0, 203, 556, 36
U+00E1, 200, 556, 36
U+00E2, 201, 556, 36
U+00E3, 205, 556, 36
U+00E4, 202, 556, 36
U+00E5, 204, 556, 36
U+00E6, 144, 889, 36
U+00E7, 206, 444, 36
U+00E8, 210, 556, 36
U+00E9, 207, 556, 36
U+00EA, 208, 556, 36
U+00EB, 209, 556, 36
U+00EC, 214, 278, -16
U+00ED, 211, 278, 65
U+00EE, 212, 278, -19
U+00EF, 213, 278, -22
U+00F0, 167, 611, 36
U+00F1, 215, 611, 69
